path:hsa01100	Metabolic_pathways
path:hsa00642	Ethylbenzene_degradation
path:hsa00643	Styrene_degradation
path:hsa00791	Atrazine_degradation
path:hsa00930	Caprolactam_degradation
path:hsa00351	DDT_degradation
path:hsa00363	Bisphenol_degradation
path:hsa00621	Dioxin_degradation
path:hsa00626	Naphthalene_degradation
path:hsa00624	Polycyclic_aromatic_hydrocarbon_degradation
path:hsa00365	Furfural_degradation
path:hsa00984	Steroid_degradation
path:hsa00980	Metabolism_of_xenobiotics_by_cytochrome_P450
path:hsa00982	Drug_metabolism_-_cytochrome_P450
path:hsa00983	Drug_metabolism_-_other_enzymes
path:hsa01010	Overview_of_biosynthetic_pathways
path:hsa01060	Biosynthesis_of_plant_secondary_metabolites
path:hsa01061	Biosynthesis_of_phenylpropanoids
path:hsa01062	Biosynthesis_of_terpenoids_and_steroids
path:hsa01063	Biosynthesis_of_alkaloids_derived_from_shikimate_pathway
path:hsa01064	Biosynthesis_of_alkaloids_derived_from_ornithine,_lysine_and_nicotinic_acid
path:hsa01065	Biosynthesis_of_alkaloids_derived_from_histidine_and_purine
path:hsa01066	Biosynthesis_of_alkaloids_derived_from_terpenoid_and_polyketide
path:hsa01070	Biosynthesis_of_plant_hormones
path:hsa03020	RNA_polymerase
path:hsa03022	Basal_transcription_factors
path:hsa03040	Spliceosome
path:hsa03010	Ribosome
path:hsa00970	Aminoacyl-tRNA_biosynthesis
path:hsa03013	RNA_transport
path:hsa03015	mRNA_surveillance_pathway
path:hsa03008	Ribosome_biogenesis_in_eukaryotes
path:hsa03060	Protein_export
path:hsa04141	Protein_processing_in_endoplasmic_reticulum
path:hsa04130	SNARE_interactions_in_vesicular_transport
path:hsa04120	Ubiquitin_mediated_proteolysis
path:hsa04122	Sulfur_relay_system
path:hsa03050	Proteasome
path:hsa03018	RNA_degradation
path:hsa03030	DNA_replication
path:hsa03410	Base_excision_repair
path:hsa03420	Nucleotide_excision_repair
path:hsa03430	Mismatch_repair
path:hsa03440	Homologous_recombination
path:hsa03450	Non-homologous_end-joining
path:hsa03460	Fanconi_anemia_pathway
path:hsa02010	ABC_transporters
path:hsa02060	Phosphotransferase_system_(PTS)
path:hsa03070	Bacterial_secretion_system
path:hsa02020	Two-component_system
path:hsa04014	Ras_signaling_pathway
path:hsa04015	Rap1_signaling_pathway
path:hsa04010	MAPK_signaling_pathway
path:hsa04013	MAPK_signaling_pathway_-_fly
path:hsa04011	MAPK_signaling_pathway_-_yeast
path:hsa04012	ErbB_signaling_pathway
path:hsa04310	Wnt_signaling_pathway
path:hsa04330	Notch_signaling_pathway
path:hsa04340	Hedgehog_signaling_pathway
path:hsa04350	TGF-beta_signaling_pathway
path:hsa04390	Hippo_signaling_pathway
path:hsa04391	Hippo_signaling_pathway_-_fly
path:hsa04370	VEGF_signaling_pathway
path:hsa04630	Jak-STAT_signaling_pathway
path:hsa04064	NF-kappa_B_signaling_pathway
path:hsa04668	TNF_signaling_pathway
path:hsa04066	HIF-1_signaling_pathway
path:hsa04068	FoxO_signaling_pathway
path:hsa04020	Calcium_signaling_pathway
path:hsa04070	Phosphatidylinositol_signaling_system
path:hsa04072	Phospholipase_D_signaling_pathway
path:hsa04071	Sphingolipid_signaling_pathway
path:hsa04024	cAMP_signaling_pathway
path:hsa04022	cGMP-PKG_signaling_pathway
path:hsa04151	PI3K-Akt_signaling_pathway
path:hsa04152	AMPK_signaling_pathway
path:hsa04150	mTOR_signaling_pathway
path:hsa04075	Plant_hormone_signal_transduction
path:hsa04080	Neuroactive_ligand-receptor_interaction
path:hsa04060	Cytokine-cytokine_receptor_interaction
path:hsa04512	ECM-receptor_interaction
path:hsa04514	Cell_adhesion_molecules_(CAMs)
path:hsa04144	Endocytosis
path:hsa04145	Phagosome
path:hsa04142	Lysosome
path:hsa04146	Peroxisome
path:hsa04140	Regulation_of_autophagy
path:hsa02030	Bacterial_chemotaxis
path:hsa02040	Flagellar_assembly
path:hsa04810	Regulation_of_actin_cytoskeleton
path:hsa04110	Cell_cycle
path:hsa04111	Cell_cycle_-_yeast
path:hsa04112	Cell_cycle_-_Caulobacter
path:hsa04113	Meiosis_-_yeast
path:hsa04114	Oocyte_meiosis
path:hsa04210	Apoptosis
path:hsa04115	p53_signaling_pathway
path:hsa04510	Focal_adhesion
path:hsa04520	Adherens_junction
path:hsa04530	Tight_junction
path:hsa04540	Gap_junction
path:hsa04550	Signaling_pathways_regulating_pluripotency_of_stem_cells
path:hsa04640	Hematopoietic_cell_lineage
path:hsa04610	Complement_and_coagulation_cascades
path:hsa04611	Platelet_activation
path:hsa04620	Toll-like_receptor_signaling_pathway
path:hsa04621	NOD-like_receptor_signaling_pathway
path:hsa04622	RIG-I-like_receptor_signaling_pathway
path:hsa04623	Cytosolic_DNA-sensing_pathway
path:hsa04650	Natural_killer_cell_mediated_cytotoxicity
path:hsa04612	Antigen_processing_and_presentation
path:hsa04660	T_cell_receptor_signaling_pathway
path:hsa04662	B_cell_receptor_signaling_pathway
path:hsa04664	Fc_epsilon_RI_signaling_pathway
path:hsa04666	Fc_gamma_R-mediated_phagocytosis
path:hsa04670	Leukocyte_transendothelial_migration
path:hsa04672	Intestinal_immune_network_for_IgA_production
path:hsa04062	Chemokine_signaling_pathway
path:hsa04911	Insulin_secretion
path:hsa04910	Insulin_signaling_pathway
path:hsa04922	Glucagon_signaling_pathway
path:hsa04923	Regulation_of_lipolysis_in_adipocytes
path:hsa04920	Adipocytokine_signaling_pathway
path:hsa03320	PPAR_signaling_pathway
path:hsa04912	GnRH_signaling_pathway
path:hsa04913	Ovarian_steroidogenesis
path:hsa04915	Estrogen_signaling_pathway
path:hsa04914	Progesterone-mediated_oocyte_maturation
path:hsa04917	Prolactin_signaling_pathway
path:hsa04921	Oxytocin_signaling_pathway
path:hsa04918	Thyroid_hormone_synthesis
path:hsa04919	Thyroid_hormone_signaling_pathway
path:hsa04916	Melanogenesis
path:hsa04924	Renin_secretion
path:hsa04614	Renin-angiotensin_system
path:hsa04925	Aldosterone_synthesis_and_secretion
path:hsa04260	Cardiac_muscle_contraction
path:hsa04261	Adrenergic_signaling_in_cardiomyocytes
path:hsa04270	Vascular_smooth_muscle_contraction
path:hsa04970	Salivary_secretion
path:hsa04971	Gastric_acid_secretion
path:hsa04972	Pancreatic_secretion
path:hsa04976	Bile_secretion
path:hsa04973	Carbohydrate_digestion_and_absorption
path:hsa04974	Protein_digestion_and_absorption
path:hsa04975	Fat_digestion_and_absorption
path:hsa04977	Vitamin_digestion_and_absorption
path:hsa04978	Mineral_absorption
path:hsa04962	Vasopressin-regulated_water_reabsorption
path:hsa04960	Aldosterone-regulated_sodium_reabsorption
path:hsa04961	Endocrine_and_other_factor-regulated_calcium_reabsorption
path:hsa04964	Proximal_tubule_bicarbonate_reclamation
path:hsa04966	Collecting_duct_acid_secretion
path:hsa04724	Glutamatergic_synapse
path:hsa04727	GABAergic_synapse
path:hsa04725	Cholinergic_synapse
path:hsa04728	Dopaminergic_synapse
path:hsa04726	Serotonergic_synapse
path:hsa04720	Long-term_potentiation
path:hsa04730	Long-term_depression
path:hsa04723	Retrograde_endocannabinoid_signaling
path:hsa04721	Synaptic_vesicle_cycle
path:hsa04722	Neurotrophin_signaling_pathway
path:hsa04744	Phototransduction
path:hsa04745	Phototransduction_-_fly
path:hsa04740	Olfactory_transduction
path:hsa04742	Taste_transduction
path:hsa04750	Inflammatory_mediator_regulation_of_TRP_channels
path:hsa04320	Dorso-ventral_axis_formation
path:hsa04360	Axon_guidance
path:hsa04380	Osteoclast_differentiation
path:hsa04710	Circadian_rhythm
path:hsa04713	Circadian_entrainment
path:hsa04711	Circadian_rhythm_-_fly
path:hsa04712	Circadian_rhythm_-_plant
path:hsa04626	Plant-pathogen_interaction
path:hsa05200	Pathways_in_cancer
path:hsa05230	Central_carbon_metabolism_in_cancer
path:hsa05231	Choline_metabolism_in_cancer
path:hsa05202	Transcriptional_misregulation_in_cancer
path:hsa05206	MicroRNAs_in_cancer
path:hsa05205	Proteoglycans_in_cancer
path:hsa05204	Chemical_carcinogenesis
path:hsa05203	Viral_carcinogenesis
path:hsa05210	Colorectal_cancer
path:hsa05212	Pancreatic_cancer
path:hsa05214	Glioma
path:hsa05216	Thyroid_cancer
path:hsa05221	Acute_myeloid_leukemia
path:hsa05220	Chronic_myeloid_leukemia
path:hsa05217	Basal_cell_carcinoma
path:hsa05218	Melanoma
path:hsa05211	Renal_cell_carcinoma
path:hsa05219	Bladder_cancer
path:hsa05215	Prostate_cancer
path:hsa05213	Endometrial_cancer
path:hsa05222	Small_cell_lung_cancer
path:hsa05223	Non-small_cell_lung_cancer
path:hsa05310	Asthma
path:hsa05322	Systemic_lupus_erythematosus
path:hsa05323	Rheumatoid_arthritis
path:hsa05320	Autoimmune_thyroid_disease
path:hsa05321	Inflammatory_bowel_disease_(IBD)
path:hsa05330	Allograft_rejection
path:hsa05332	Graft-versus-host_disease
path:hsa05340	Primary_immunodeficiency
path:hsa05010	Alzheimer's_disease
path:hsa05012	Parkinson's_disease
path:hsa05014	Amyotrophic_lateral_sclerosis_(ALS)
path:hsa05016	Huntington's_disease
path:hsa05020	Prion_diseases
path:hsa05030	Cocaine_addiction
path:hsa05031	Amphetamine_addiction
path:hsa05032	Morphine_addiction
path:hsa05033	Nicotine_addiction
path:hsa05034	Alcoholism
path:hsa05410	Hypertrophic_cardiomyopathy_(HCM)
path:hsa05412	Arrhythmogenic_right_ventricular_cardiomyopathy_(ARVC)
path:hsa05414	Dilated_cardiomyopathy
path:hsa05416	Viral_myocarditis
path:hsa04930	Type_II_diabetes_mellitus
path:hsa04940	Type_I_diabetes_mellitus
path:hsa04950	Maturity_onset_diabetes_of_the_young
path:hsa04932	Non-alcoholic_fatty_liver_disease_(NAFLD)
path:hsa04931	Insulin_resistance
path:hsa05110	Vibrio_cholerae_infection
path:hsa05111	Vibrio_cholerae_pathogenic_cycle
path:hsa05120	Epithelial_cell_signaling_in_Helicobacter_pylori_infection
path:hsa05130	Pathogenic_Escherichia_coli_infection
path:hsa05132	Salmonella_infection
path:hsa05131	Shigellosis
path:hsa05133	Pertussis
path:hsa05134	Legionellosis
path:hsa05150	Staphylococcus_aureus_infection
path:hsa05152	Tuberculosis
path:hsa05100	Bacterial_invasion_of_epithelial_cells
path:hsa05166	HTLV-I_infection
path:hsa05162	Measles
path:hsa05164	Influenza_A
path:hsa05161	Hepatitis_B
path:hsa05160	Hepatitis_C
path:hsa05168	Herpes_simplex_infection
path:hsa05169	Epstein-Barr_virus_infection
path:hsa05146	Amoebiasis
path:hsa05144	Malaria
path:hsa05145	Toxoplasmosis
path:hsa05140	Leishmaniasis
path:hsa05142	Chagas_disease_(American_trypanosomiasis)
path:hsa05143	African_trypanosomiasis
path:hsa01501	beta-Lactam_resistance
path:hsa01502	Vancomycin_resistance
path:hsa01503	Cationic_antimicrobial_peptide_(CAMP)_resistance
path:hsa07011	Penicillins
path:hsa07012	Cephalosporins_-_parenteral_agents
path:hsa07013	Cephalosporins_-_oral_agents
path:hsa07021	Aminoglycosides
path:hsa07019	Tetracyclines
path:hsa07020	Macrolides_and_ketolides
path:hsa07014	Quinolones
path:hsa07023	Rifamycins
path:hsa07026	Antifungal_agents
path:hsa07044	Antivirals
path:hsa07053	Anti-HIV_agents
path:hsa07040	Antineoplastics_-_alkylating_agents
path:hsa07041	Antineoplastics_-_antimetabolic_agents
path:hsa07042	Antineoplastics_-_agents_from_natural_products
path:hsa07043	Antineoplastics_-_hormones
path:hsa07045	Antineoplastics_-_protein_kinases_inhibitors
path:hsa07032	Hypnotics
path:hsa07030	Anxiolytics
path:hsa07033	Anticonvulsants
path:hsa07015	Local_analgesics
path:hsa07039	Opioid_analgesics
path:hsa07028	Antipsychotics
path:hsa07029	Phenothiazines
path:hsa07031	Butyrophenones
path:hsa07027	Antidepressants
path:hsa07056	Agents_for_Alzheimer-type_dementia
path:hsa07057	Antiparkinsonian_agents
path:hsa07055	Sulfonamide_derivatives_-_overview
path:hsa07016	Sulfonamide_derivatives_-_sulfa_drugs
path:hsa07017	Sulfonamide_derivatives_-_diuretics
path:hsa07018	Sulfonamide_derivatives_-_hypoglycemic_agents
path:hsa07037	Antiarrhythmic_drugs
path:hsa07038	Antiulcer_drugs
path:hsa07046	Immunosuppressive_agents
path:hsa07047	Osteoporosis_drugs
path:hsa07048	Antimigraines
path:hsa07049	Antithrombosis_agents
path:hsa07050	Antirheumatics_-_DMARDs_and_biological_agents
path:hsa07051	Antidiabetics
path:hsa07052	Antidyslipidemic_agents
path:hsa07054	Antiglaucoma_agents
path:hsa07220	Cholinergic_and_anticholinergic_drugs
path:hsa07215	alpha-Adrenergic_receptor_agonists/antagonists
path:hsa07214	beta-Adrenergic_receptor_agonists/antagonists
path:hsa07213	Dopamine_receptor_agonists/antagonists
path:hsa07212	Histamine_H1_receptor_antagonists
path:hsa07227	Histamine_H2/H3_receptor_agonists/antagonists
path:hsa07211	Serotonin_receptor_agonists/antagonists
path:hsa07228	Eicosanoid_receptor_agonists/antagonists
path:hsa07224	Opioid_receptor_agonists/antagonists
path:hsa07229	Angiotensin_receptor_and_endothelin_receptor_antagonists
path:hsa07225	Glucocorticoid_and_meneralocorticoid_receptor_agonists/antagonists
path:hsa07226	Progesterone,_androgen_and_estrogen_receptor_agonists/antagonists
path:hsa07223	Retinoic_acid_receptor_(RAR)_and_retinoid_X_receptor_(RXR)_agonists/antagonists
path:hsa07222	Peroxisome_proliferator-activated_receptor_(PPAR)_agonists
path:hsa07221	Nicotinic_cholinergic_receptor_antagonists
path:hsa07230	GABA-A_receptor_agonists/antagonists
path:hsa07036	Calcium_channel_blocking_drugs
path:hsa07231	Sodium_channel_blocking_drugs
path:hsa07232	Potassium_channel_blocking_and_opening_drugs
path:hsa07235	N-Metyl-D-aspartic_acid_receptor_antagonists
path:hsa07233	Ion_transporter_inhibitors
path:hsa07234	Neurotransmitter_transporter_inhibitors
path:hsa07216	Catecholamine_transferase_inhibitors
path:hsa07219	Cyclooxygenase_inhibitors
path:hsa07024	HMG-CoA_reductase_inhibitors
path:hsa07217	Renin-angiotensin_system_inhibitors
path:hsa07218	HIV_protease_inhibitors
path:hsa07025	Quinolines
path:hsa07034	Eicosanoids
path:hsa07035	Prostaglandins
path:hsa07110	Benzoic_acid_family
path:hsa07112	1,2-Diphenyl_substitution_family
path:hsa07114	Naphthalene_family
path:hsa07117	Benzodiazepine_family
pathway_1500931	Cell-Cell_communication
pathway_373753	Nephrin_interactions
pathway_376172	DSCAM_interactions
pathway_446728	Cell_junction_organization
pathway_446353	Cell-extracellular_matrix_interactions
pathway_446388	Regulation_of_cytoskeletal_remodeling_and_cell_spreading_by_IPP_complex_components
pathway_446343	Localization_of_the_PINCH-ILK-PARVIN_complex_to_focal_adhesions
pathway_446107	Type_I_hemidesmosome_assembly
pathway_421270	Cell-cell_junction_organization
pathway_418990	Adherens_junctions_interactions
pathway_420597	Nectin/Necl	trans_heterodimerization
pathway_420029	Tight_junction_interactions
pathway_391160	Signal_regulatory_protein_(SIRP)_family_interactions
pathway_1430728	Metabolism
pathway_211859	Biological_oxidations
pathway_211945	Phase_1_-_Functionalization_of_compounds
pathway_71384	Ethanol_oxidation
pathway_217271	FMO_oxidises_nucleophiles
pathway_140179	Amine_Oxidase_reactions
pathway_141333	Biogenic_amines_are_oxidatively_deaminated_to_aldehydes_by_MAOA_and_MAOB
pathway_141334	PAOs_oxidise_polyamines_to_amines
pathway_211897	Cytochrome_P450_-_arranged_by_substrate_type
pathway_211979	Eicosanoids
pathway_211981	Xenobiotics
pathway_211999	CYP2E1_reactions
pathway_211957	Aromatic_amines_can_be_N-hydroxylated_or_N-dealkylated_by_CYP1A2
pathway_211935	Fatty_acids
pathway_211976	Endogenous_sterols
pathway_211994	Sterols_are_12-hydroxylated_by_CYP8B1
pathway_211916	Vitamins
pathway_211958	Miscellaneous_substrates
pathway_140180	COX_reactions
pathway_156580	Phase_II_conjugation
pathway_156584	Cytosolic_sulfonation_of_small_molecules
pathway_174362	Transport_and_synthesis_of_PAPS
pathway_156587	Amino_Acid_conjugation
pathway_159424	Conjugation_of_carboxylic_acids
pathway_177135	Conjugation_of_benzoate_with_glycine
pathway_177162	Conjugation_of_phenylacetate_with_glutamine
pathway_177128	Conjugation_of_salicylate_with_glycine
pathway_156590	Glutathione_conjugation
pathway_174403	Glutathione_synthesis_and_recycling
pathway_156582	Acetylation
pathway_156581	Methylation
pathway_156588	Glucuronidation
pathway_173599	Formation_of_the_active_cofactor,_UDP-glucuronate
pathway_5423646	Aflatoxin_activation_and_detoxification
pathway_1480926	O2/CO2_exchange_in_erythrocytes
pathway_1247673	Erythrocytes_take_up_oxygen_and_release_carbon_dioxide
pathway_1237044	Erythrocytes_take_up_carbon_dioxide_and_release_oxygen
pathway_71387	Metabolism_of_carbohydrates
pathway_70326	Glucose_metabolism
pathway_70221	Glycogen_breakdown_(glycogenolysis)
pathway_5357572	Lysosomal_glycogen_catabolism
pathway_3322077	Glycogen_synthesis
pathway_70263	Gluconeogenesis
pathway_70171	Glycolysis
pathway_70370	Galactose_catabolism
pathway_71336	Pentose_phosphate_pathway_(hexose_monophosphate_shunt)
pathway_5653890	Lactose_synthesis
pathway_5661270	Catabolism_of_glucuronate_to_xylulose-5-phosphate
pathway_5652084	Fructose_metabolism
pathway_5652227	Fructose_biosynthesis
pathway_70350	Fructose_catabolism
pathway_1630316	Glycosaminoglycan_metabolism
pathway_1793185	Chondroitin_sulfate/dermatan_sulfate_metabolism
pathway_2022923	Dermatan_sulfate_biosynthesis
pathway_1971475	A_tetrasaccharide_linker_sequence_is_required_for_GAG_synthesis
pathway_2024101	CS/DS_degradation
pathway_2022870	Chondroitin_sulfate_biosynthesis
pathway_1638074	Keratan_sulfate/keratin_metabolism
pathway_2022854	Keratan_sulfate_biosynthesis
pathway_2022857	Keratan_sulfate_degradation
pathway_2142845	Hyaluronan_metabolism
pathway_2160916	Hyaluronan_uptake_and_degradation
pathway_2142850	Hyaluronan_biosynthesis_and_export
pathway_1638091	Heparan_sulfate/heparin_(HS-GAG)_metabolism
pathway_1971475	A_tetrasaccharide_linker_sequence_is_required_for_GAG_synthesis
pathway_2022928	HS-GAG_biosynthesis
pathway_2024096	HS-GAG_degradation
pathway_174362	Transport_and_synthesis_of_PAPS
pathway_189200	Hexose_transport
pathway_70153	Glucose_transport
pathway_170822	Regulation_of_Glucokinase_by_Glucokinase_Regulatory_Protein
pathway_73843	5-Phosphoribose_1-diphosphate_biosynthesis
pathway_189085	Digestion_of_dietary_carbohydrate
pathway_1362409	Mitochondrial_iron-sulfur_cluster_biogenesis
pathway_2395516	Electron_transport_from_NADPH_to_Ferredoxin
pathway_1475029	Reversible_hydration_of_carbon_dioxide
pathway_196854	Metabolism_of_vitamins_and_cofactors
pathway_196849	Metabolism_of_water-soluble_vitamins_and_cofactors
pathway_196780	Biotin_transport_and_metabolism
pathway_199220	Vitamin_B5_(pantothenate)_metabolism
pathway_196783	Coenzyme_A_biosynthesis
pathway_196836	Vitamin_C_(ascorbate)_metabolism
pathway_196819	Vitamin_B1_(thiamin)_metabolism
pathway_196757	Metabolism_of_folate_and_pterines
pathway_947581	Molybdenum_cofactor_biosynthesis
pathway_196741	Cobalamin_(Cbl,_vitamin_B12)_transport_and_metabolism
pathway_196843	Vitamin_B2_(riboflavin)_metabolism
pathway_196807	Nicotinate_metabolism
pathway_197264	Nicotinamide_salvaging
pathway_964975	Vitamins_B6_activation_to_pyridoxal_phosphate
pathway_2161522	Abacavir_transport_and_metabolism
pathway_2161517	Abacavir_transmembrane_transport
pathway_2161541	Abacavir_metabolism
pathway_2564830	Cytosolic_iron-sulfur_cluster_assembly
pathway_189445	Metabolism_of_porphyrins
pathway_189483	Heme_degradation
pathway_189451	Heme_biosynthesis
pathway_1483249	Inositol_phosphate_metabolism
pathway_1855229	IP6_and_IP7_transport_between_cytosol_and_nucleus
pathway_1855231	Synthesis_of_IPs_in_the_ER_lumen
pathway_1855183	Synthesis_of_IP2,_IP,_and_Ins_in_the_cytosol
pathway_1855196	IP3_and_IP4_transport_between_cytosol_and_nucleus
